 Crane Operator Incurs Knee Injury When Crane Tips Over ,At 10:30 p.m. on January 9 2013 Employee #1 a crane operator employed by Concrete General Inc. along with Coworker #1 a rigger and Coworker #2 a laborer were using a mobile crane as part of a bridge repair project. The crane was a boom truck that was being operated in a closed 11-foot lane the fast lane on one of two bridges the westbound bridge. Employee #1 operated the crane without the outriggers extended and with only the jacks down. This was because the single lane closure did not allow sufficient space to extend the 17-foot outriggers. The crane was being used to remove the temporary work platform located on the inside of the bridge. The needle beams were being removed from under the work platform and were being loaded onto a flatbed truck that was parked behind the crane. Each beam weighed 1 796 pounds and measured 21 feet in length. Employee #1 lifted four beams with the crane. He was removing the fifth beam when that beam started swinging. Employee #1 lost control of the load and the crane. The crane tipped over and the boom landed on the eastbound bridge. Employee #1 sustained a knee injury. He was transported to a hospital where he received treatment for a knee bruise/abrasion. He then was released. Maryland OSHA's investigation determined that the crane collapsed between the 50-foot span of the two bridges above the creek that ran 60 feet below. At the time of the collapse the crane's hydraulic boom was extended to 58 feet and the boom angle was 65 feet. The load chart requires that the boom angle be at a maximum of 45 feet with the boom extended to 58 feet. Therefore the crane was being operated outside the safe parameters required by the manufacturer's load charts. Employee #1 and his two coworkers were exposed to struck-by hazards while working with the mobile crane.,collapse of object
 Employee Is Killed In Fall From Suspension Scaffold ,On October 1 2009 four employees were abrasive blast cleaning the McKees Rocks Bridge in McKees Rocks PA. They were performing the work from suspension scaffolds within Containment Number 17 which enclosed Pier Number 16. At approximately 2:00 p.m. a wire rope failed on the suspension scaffold being used to blast clean the fascia beam on the upriver side of the bridge. Employee #1 who was abrasive blast cleaning in close proximity to the failed wire rope fell approximately 124 feet and was killed. As part of the investigation the wire rope was analyzed by the Materials Failure Division at the Salt Lake Technical Center. Analysis revealed extreme ablative damage to the wires at the failure site significant enough to cause the wire rope to fail.,collapse of object
 Employee Killed In Fall From Man Lift ,On March 16 2001 Employee #1 and a coworker were doing abrasive blasting from separate man lifts inside a hydro-pillar water tank. Suddenly the coworker heard a sound. He yelled for Employee #1 and got no response. The coworker shone his light and saw Employee #1 on the floor of the tank. Employee #1 fell approximately 25 ft when the weld on the anchor pad-eye that the scaffolding was connected to gave jerking the man lift. Employee #1 was apparently not tied off to the safety line.,falls
 Employee Killed In Fall From Roof ,On May 9 2000 Employee #1 was performing abrasive blasting operations on the roof of a water tower. Employee #1 had not donned his fall protection equipment and was subsequently not tied off. When he got to the edge of the tower he slipped or stumbled and fell 150 ft to the ground. Employee #1 was killed.,falls
 Employee'S Thigh Lacerated With Abrasive From Machine ,At approximately 9:30 a.m. on October 2 1990 Employee #1 was attempting to clear an abrasive blasting machine. He first disconnected the air supply line and then took the nozzle end and the air supply line and held them together between his legs to backflush the machine. When Employee #1 lost his grip the nozzle end with the pressurized abrasive lacerated his right thigh. He was hospitalized for three days for a laceration with the abrasive in it.,struck by moving objects
 Asphyxiated In Rail Car; Air Compressor Failed ,EMPLOYEE #1 WAS SANDBLASTING INSIDE A 1 620 CUBIC FOOT RAIL CAR COMPARTMENT. AN OIL HOSE CAME LOOSE ON THE DAVEY AIR COMPRESSOR S/N 35808. THE EMPLOYEE WAS WEARING AN AIRLINE RESPIRATOR WITH AN ABRASIVE BLASTING HOOD. THE OUTSIDE EMPLOYEE WENT TO THE RAILCAR TO CHECK ON EMPLOYEE #1 AND FOUND HIM UNCONSCIOUS. EMPLOYEE #1'S LOWER DENTURES WERE FOUND LODGED IN HIS THROAT AT THE HOSPITAL. HE DIED 7 DAYS LATER DUE TO CEREBRAL ANOXIA WITH BRAIN DEATH SECONDARY TO ASPHYXIATION.,others
 Employee Killed In Fall From Telecommunications Tower ,Employees #1 and #2 were being hoisted up a 500 ft telecommunications tower to replace antenna parts damaged when the tower was struck by lightning. They were being raised by a 1/2 in. nylon rope load line using a friction winch. Employee #2 was attached to the load line by a pelican clip that was attached to a seat strap D-ring by a small clevis on his tree saddle safety belt. The pelican clip had been run through a hand-tied loop in the end of the rope load line. Employee #1 was attached to the same loop by the center clip of a short three-clip rope safety lanyard as were the replacement antenna parts. The remaining clips were attached to the waist D-rings on her full body harness. The rope load line had been routed up the tower through a 3 in. McKissik top block pulley that had been hand-tied to the face of the tower by two pieces of 1/2 in. climbing rope at a height of approximately 475 ft. The 1/2 in. nylon load line was then routed back down the tower and through a heel block pulley attached near the base. The free end was then wrapped around a cathead (capstan hoist) which had been bolted to the left rear wheel of a small pick-up truck with the wheel jacked up off the ground. With the pickup truck idling Employee #3 manually pulled on the free end of the rope hoisting Employees #1 and #2 up the tower. The two employees were at a height of approximately 385 ft when the pickup's engine apparently stalled. When a coworker tried to restart the engine friction was lost between the rope load line and the capstan hoist drum causing Employees #1 and #2 to fall. They struck a guy at a height of about 210 ft and managed to ride it to the ground. Employee #1 was killed. Employee #2 suffered a fractured back a fractured jaw some fractured ribs and other internal injuries. Employee #3 sustained severe rope burns to both hands from trying to stop the rope.,collapse of object
 Worker Is Struck By Abrasive Disk From Concrete Machine ,At approximately 9:15 a.m. on August 20 2012 Employee #1 was working for WJ Lent Contracting Services a contractor for projects involving nonresidential buildings. It was demolishing a commercial retail building. Employee #1 had worked for the company for approximately three weeks. At the time of the incident he was working near coworkers. One coworker was operating a Lavina 30G Pro machine. This was a propane-powered 30-inch (0.76-meter) machine for the planetary grinding polishing and burnishing of concrete. Employee #1 was walking toward the coworker to warn him about smoke that was coming from the machine when its abrasive disk came off the machine flew out and struck Employee #1. He sustained a laceration and a fracture of his left leg. Employee #1 was transported to Simi Valley Medical Center where he was treated for four days. The Division was notified of the accident by WJ Lent Contracting Services at 2:52 p.m. on August 23 2012. It initiated an inspection on September 11 2012. Interviews were conducted of Employee #1 his supervisor and other workers who had been onsite.,struck by moving objects
 Worker Lacerates Hand On Angle Grinder Used On Concrete ,At approximately 8:30 a.m. on December 16 2011 an employee was working for C. A. Rasmussen Inc. Rasmussen was a general engineering contractor. It constructed highways bridges and other parts of the transportation infrastructure. The injured employee had been working for company about 4 years performing the duties of a laborer. At the time of accident he was performing his daily duties. The employee was working adjacent to other employees and a supervisor was onsite. He was showing a coworker how to clean out the concrete chamfer at the bottom of a concrete wall. This job was done with a portable DeWalt Model Number D28494 angle grinder with an 8-inch (203-millimeter) abrasive wheel. At the time of accident the angle grinder was not guarded. For some reason his right wrist was severely lacerated during this demonstration. The employee was transported to Northridge Hospital. He was treated for the laceration of his right wrist for two days. The Division was notified of the accident at 2:15 p.m. on December 16 2011. It initiated an inspection on January 11 2012. Interviews were conducted of the employee's supervisor the injured employee and injured coworkers. There was no mention on the injury line of other workers injured during this incident. The investigation found no violation of any Title 8 standard in connection with this accident. As a result the Division did not issue serious accident-related citation. Only no-accident-related citations were issued.,others
 Abrasive Wheel Cut Off Saw Breaks And Cuts Employee'S Face ,On February 3 2011 an employee was using a Stihl abrasive wheel cut off saw to cut metal tubing. While cutting the tubing the abrasive wheel broke into many pieces. Some of the pieces struck the operator in the face and caused multiple serious cuts.,struck by moving objects
 Employee Cuts His Thumb With A Grinding Wheel ,On March 8th 2010 Employee #1 of Lassen County Road Department was grinding a small metal part on a pedestal grinder. The tool rest was more than 1/8 in. from the grinding wheel. Employee #1's finger was pulled into the wheel between the tool rest and abrasive wheel. Employee #1 suffered a severe laceration to his left thumb.,caught in/between objects
 Employee'S Face Is Injured By Flying Object ,At approximately 10:30 a.m. on July 29 2005 Employee #1 was shaping a 0.25-in. thick steel bucket with a Bosch 1347A portable right-angle grinder (Serial Number R1880022170). It had no safety guard and its screw-in handle was missing. After trying several new SAIT 22021 type-27 4.5-in. wheels that day he selected a wheel comparable to the rated rpm rate of the grinder. He first cut was an approximately 8-in length off the bucket and experienced some wheel binding and jerking problems. His supervisor then explained to him that he needed to cut off more steel on the same bucket and that he needed to cut at an angle to avoid disturbing other components of the grinder. After the supervisor left Employee #1 began cutting at an approximately 45-degree angle. The wheel snagged the body of the grinder causing the abrasive wheel to break apart and dislocated from the spindle. Flying debris ejected from the grinder and struck Employee #1 in his face. Employee #1 was not wearing a face shield but was wearing ANSI labeled safety glasses. The impact of the flying debris upon his face caused two facial lacerations and a broken nose. He was transported to a medical center where he was hospitalized for surgical procedures and postoperative care and then released four days later. Citations issued were a failure to use a grinder guard sound and check the RPM before the wheel was used to receive training for grinder safety and use eye and face protection.,struck by moving objects
 Employee Is Injured While Cutting Railing With Angle Grinder ,At approximately 9:40 a.m. on January 21 2004 Employee #1 was cutting a metal railing in the garage of a residential home under construction with a Makita angle grinder Model Number 9524NB when the 6-inch diameter grinding disc broke. His right hand was struck by the broken disc lacerating his right wrist. He was hospitalized with his injury. Further investigation revealed that the employee was not familiar with using an abrasive disc grinder as a cutting tool for metal or structural steel.,struck by moving objects
 Employee'S Hand Lacerated By Abrasive Wheel ,At approximately 11:55 a.m. on July 18 2000 Employee #1 was using a handheld power grinder to cut the end off of a piece of Unistrut. The grinder kicked back and the spinning abrasive wheel ran across the back of his hand severely lacerating it. Employee #1's injuries required he undergo extensive surgery and treatment on his hand.,struck by moving objects
 Worker'S Finger Is Broken In Unintended Machine Activation ,At approximately 7:30 a.m. on September 17 2013 Employee #1 and Coworker #1 employed by a plumbing contractor were working at an aerospace manufacturing plant. Employee #1 a plumber's assistant was assembling a pipe section to a ball valve. He was using a pipe and bolt threading machine Ridge Tool Company Model 1822-I. This machine is operated by a foot- switch pedal. The foot-switch pedal is like the gas pedal of a car: when you step on it the machine starts rotating; when you step off it the machine stops rotating. Employee #1 was using the machine to grip the pipe in a fixed position. He was using his right hand to thread the valve onto the stationary section of the pipe. Employee #1 had his right hand on the pipe and under the ball valve. He unintentionally activated the machine via the foot-switch pedal. The machine started to rotate and the pipe rotated toward Employee #1. His fingers were trapped between the valve handle and the valve body. Employee #1 immediately either released the foot-switch pedal or kicked it away. Coworker #1 who was approximately 5 feet away came and turned off the machine using the on/off-type switch on the side of the machine. However the machine had already rotated enough to break Employee #1 right index finger by bending it backwards. Emergency services were called and Employee #1 was transported to the hospital where he underwent surgery to repair the fractured right index finger. The subsequent investigation of this event determined that the injury was caused by the machine unintentionally being activated by Employee #1 via the foot pedal while his hand was on the pipe being gripped by the pipe and bolt threading machine. Employee #1 was a full-time employee of the employer.,caught in/between objects
 Employee Is Killed When Struck By Vehicle ,On November 14 2010 Employee #1 a labor for California Department of Transportation was struck by a vehicle that entered through the traffic control cones. Employee #1 was launched 51 feet and died at the scene.,traffic
 Employee Injured In Fall From Roof ,On October 29 2001 Employee #1 was preparing to remove a piece of roofing machinery from the roof of a building. He was supposed to attach the machinery to a crane but a rock apparently became stuck under the accelerator pedal and he could not stop the machine. Employee #1 had no time to jump off and he was thrown 18 ft off the roof to the ground. He was transported to the hospital where at the time this report was written he was undergoing physical therapy.,falls
 Employee Dies After Exposure And Allergic Reaction ,At 8:30 a.m. on December 1 2008 Employee #1 an elevator mechanic and Employee #2 elevator mechanic's helper were using compressed air to pressure test a 14 in. diameter x 55 ft. PVC pipe located in a pit in the elevator shaft. The PVC liner was being tested to ensure it was water tight when it ruptured under low pressure. Both Employee #1 and #2 were standing outside the hoistway with the doors open when the PVC ruptured. Both employees were sprayed with dust and water. On December 10 2008 Employee #2 developed a rash on his chest and stomach area. Employee #2 was admitted to hospital on December 14 2008 and died on December 18 2008. Autopsy revealed that Employee #2 died of a pulmonary embolism and that the manner of death was natural. Employee #1 was not injured.,others
 Employee'S Eye Is Burned By Wet Concrete ,At 12:14 p.m. on September 16 2008 Employee #1 a truck driver was standing by the side of a pump truck that was pumping concrete. Wet concrete burst from a reducer elbow discharge line of the pump truck and struck Employee #1 on his face blowing off his safety glasses. He sustained a chemical burn of his right eye. He was hospitalized for treatment and was discharged at 12:00 p.m. on September 19 2008.,exposure to chemical substances
 Employee Injured When Nail Gun Accidentally Discharges ,On November 14 2007 Employee #1 a carpenter/framer with a general building contractor was starting to nail sheeting on the roof of a residential building. He was removing an air hose from a Hitachi NR 83A nailer when a nail accidentally discharged seriously injuring him. He was transported to Valley Presbyterian Hospital where he was treated for four days. At the time of accident the Hitachi NR83A nailer was being operated without the safety push lever (part #877-391Z) in place which allowed the accidental discharge of the nail. At the time of the accident Employee #1 was working near the company's on-site supervisor. The employer was cited for a violation general of T8CCR 3328(b).,struck by moving objects
 Employee Killed When Caught Under Stream Of Hot Water ,On November 1 2007 Employee #1 was installing insulation around pipes in the boiler room. He was standing approximately 10 ft in front of the valve cap on the hot water return when the pressure blew the cap off of the fitting. Employee #1 was struck by a stream of 185 degree F water that pinned him under the boiler. He died of injuries sustained in the accident.,struck by moving objects
 Employee'S Arm Burned When Splashed By Hot Tar ,At approximately 1:00 p.m. on October 11 2007 Employee #1 of R.D. Winkle Company a roofing contractor in Thousand Palms CA was sprayed with hot tar on his left forearm from a Cleasby Kettle. He sustained third-degree burns on his arm and was hospitalized for three days.,fires and explosion
 Employee Burned When Leaked Gasoline Ignites ,At 7:55 a.m. on September 4 2007 Employee #1 an independent contractor was using a concrete cutting saw to enlarge an interior doorway opening at a work site in Poway CA. He was holding the saw overhead when the gas cap or gas line failed causing gasoline to stream down over his head and chest. The gasoline ignited from sparks created by the cutting operation. Employee #1 suffered second-degree burns over 60 percent of his body and was transported to the Burn Center at UC-San Diego Medical Center.,fires and explosion
 Employee Burns Forearms When Chemical Vapors Ignite ,On August 6 2002 Employee #1 was performing restoration efforts on a bathroom. As he was sitting on a toilet seat cover applying Sunrez resin and acetone to a surface Employee #1 turned on an ultraviolet halogen light. The resin and acetone released volatile vapors ignited and Employee #1 sustained burns to his forearms. Employee #1 was transported to a medical facility where he was treated and released. He returned to work the following day.,fires and explosion
 Employee Burned When Vapors Ignite ,At approximately 3:00 p.m. on May 8 2000 Employee #1 a leadman for a waterproofing contractor was working at an apartment building in Hollywood CA. He was using an electric chipping gun on a raised portion of the concrete floor after the walls and floor had been cleaned with acetone. A flash fire broke out and Employee #1 suffered first- and second-degree burns to his face forearms and hands.,fires and explosion
 Employees Injured During Explosion ,Employee #1 was part of a two man crew working at a house removing linoleum tile. The room that crew was working in did not have heat so they brought a heater and a fan to warm up the area. They were using acetone on the tile when an explosion occurred. Employee #1 suffered burns to his body and was hospitalized.,fires and explosion
 Employee Is Caught By Fallen Trellis  Suffers Fractures ,At about 3:00 p.m. on July 9 2013 Employee #1 a foreman with Razmik Tarkhanian Dba Bridge Iron was securing a 22 ft wide by 65 ft long trellis between two buildings that were under construction. Employee #1 was working alone removing safety brackets with an acetylene torch (oxy-acetylene) from the column supporting the trellis. The trellis brackets were about 18 ft above the ground. Employee #1 noticed that the steel tube connecting the trellis to the northwest column was not straight. Employee #1 was the foreman responsible for safety and the proper installation of the trellis at the site. Employee #1 decided that the welded connection at the northwest column was unacceptable and had to be repaired. Employee #1 used an acetylene torch (oxy-acetylene) to cut the bottom weld on the steel tube connecting the trellis to the northwest column. When the bottom weld was cut the weight of the trellis was too great for the remaining welds to support the 15 000 pound structural steel trellis. This action allowed the northwest corner of the trellis to fall approximately two ft and trap Employee #1 between the trellis and the wall. Apparently the structural design of the structure was modified by an unqualified foreman when he removed structural welds. This caused the remaining welds to fail under the load and allow the structure to fall. Employee #1 was transported to the hospital and he was admitted for over 24 hours for chest and facial fractures.,collapse of object
 Employee Is Burned While Operating Cutting Torch ,At approximately 7:30 a.m. on May 17 2013 Employee #1 a supervisor and well driller with Zim Industries Inc. Dba Bakersfield Well & Pump Company began cutting a pipe with an oxygen-acetylene torch after he removed the cap from the well casing and marked the cut line. He was cutting the well casing to raise it for the pump pad. Then a piece of slag fell in excess of 30 ft down into the well casing igniting an unknown substance. This caused flames to rise to the top of the well. Employee #1 was leaning over the open well casing when flames hit him in the arms neck and chest area. Employee #1 received flash burns to the face neck anterior torso and bilateral upper extremities. The well was not properly tested with a gas monitor prior to cutting the well casing. Employee #1 was not wearing the appropriate personal protective equipment (a long sleeve shirt (cotton or FRC)); (leathers and welding gloves). Employee #1 was hospitalized.,fires and explosion
 Employee Is Killed When Crushed Under Collapsed Wall ,On January 3 2011 the owner of a contracting company and Employee #1 were removing the roof of a building as part of a demolition project. When they removed the main support beam of the roof the northern section of roof collapsed. One truss of the southern roof portion remained attached to the main support beam and was bent approximately 6 feet of the truss down toward the ground. The owner then decided they should stop for the day and left the immediate area to park the bobcat skid loader in another portion of the building; however Employee #1 continued to work while the owner was out of the area. The owner walked back to the area where the work was being conducted and he heard an oxygen acetylene torch running. He felt the building vibrate and heard a large crash. The owner arrived in the area and found Employee #1 under a pile of concrete and mortar. The debris came from a portion of the wall in the work area. Employee #1 was transported to the hospital where he was pronounced dead.,collapse of object
 Employee Burned When Natural Gas Line Ignites And Explodes ,On August 23 2007 Employee #1 was using a welder's torch to repair a natural gas line connection when the gas ignited and exploded. He suffered burns for whihc he was hospitalized.,fires and explosion
 Employee Is Struck And Killed By Falling Highway Board Sign ,On August 14 2013 Employee #1 was struck and killed by a falling highway board sign.,collapse of object
 Employer Is Killed While Erecting Billboard ,At approximately 9:28 a.m. on September 10 2010 Employee #1 the owner of Ralph Surles Company was erecting a steel double billboard. The two signs were on the ground in an upright position. Each sign measured 13 ft tall 30 ft long and 1 ft 10 in. to 2 ft 2 in. deep. One sign had a catwalk on which Employee #1 and his employee were working. The sign with the catwalk toppled onto the adjacent sign pinning both workers. A third worker who did not witness the accident summoned emergency responders to extricate both workers. Employee #1 was killed. The other employee was airlifted to a hospital in Fort Worth for unspecified injuries. Windy weather conditions and the weight of the two workers may have contributed to the incident.,collapse of object
 Employee Is Injured In Aerial Lift Collapse ,At approximately 10:45 a.m. on September 19 2009 Employee #1 was operating an Eagle 44 towable boom lift (Serial Number 17901) at an approximate height of 32 ft to remove signs located outside of a retail store. When the lower boom's hydraulic cylinder apparently failed the boom fell to the ground. Witnesses indicated that Employee #1 was ejected from the basket and then restrained by his fall protection equipment. He was hospitalized at Renown Medical Hospital for severe injuries to his face fractured ribs and a fractured vertebra.,collapse of object
 Employee'S Fingertip Amputated By Falling Toad Sign ,On September 24 2007 Employee #1 was removing road construction warning signs and barriers from a highway. He was moving a metal directional arrow sign to one side of the freeway when the pin holding the panel to the legs of the sign gave out. The sign fell to the ground crushing Employee #1's right hand against the ground. The tip of his right middle finger was avulsed. He was transported to the hospital where he underwent surgery on his hand.,collapse of object
 Employee Electrocuted While Painting Outdoor Sign ,At approximately 12:30 p.m. on September 15 2006 Employee #1 who worked a billboard painting company was on a catwalk situated directly above a 7 200-volt overhead power line. He was pulling on a painting spray hose so it would reach the work area when he struck the power line and was electrocuted. A coworker rushed to help him and Emergency Services was called. The Fire Department responded and transported Employee #1 to the hospital where he was pronounced dead. He had been using proper fall protection equipment and had received basic safety training but nothing related to the hazards associated with overhead power lines. His employer had been in the trade for more than 10 years and should have been knowledgeable about the safety requirements for working around power lines but it had not scheduled any special provisions for this job site. The employer had apparently acknowledged the power lines once he was on the job site and positioned the truck at the opposite end but Employee #1 who was in his third week with the company was directly over the line at the time of the accident.,electrocution
 Employee Is Killed In Fall From Billboard Catwalk ,On August 22 2006 Employee #1 and a coworker were working from a catwalk to dismantle an aluminum tri-wave sign from a billboard. Both Employee #1 and his coworker were wearing personal fall protection harnesses and lanyards. There was a cable installed near the catwalk on which they were standing for their lanyards to attach. However Employee #1 did not attach his lanyard to the cable. After removing a number of aluminum pieces from the sign Employee #1 and his coworker bundled them together so that they could be lowered to the ground with a rope. As they lowered the bundle of aluminum to the ground Employee #1 slipped and fell about 35 feet to a paved parking lot. He landed head first and was killed.,falls
 Employee Is Killed When Struck By Tree Limb ,On November 12 2013 Employee #1 with Three Frogs Inc. was cutting down a eucalyptus tree. Employee #1 was operating an aerial lift from inside the bucket and a coworker was also in the bucket of the aerial lift using a chain saw to cut branches. After initially cutting five (eight ft) sections near the top of the tree Employee #1 raised the lift and attached a rope line halfway up the branch. Three other coworkers were below on the ground and were holding onto the line in an effort to control the fall of the branch. Employee #1 positioned the lift near the lowest crotch while the coworker using the chain saw made several cuts at the base of the approximately 30 ft branch. Instead of falling away from the aerial lift bucket and toward the three employees who were pulling on the rope the branch fell towards Employee #1 and the coworker who were in the aerial lift bucket. The coworker in the bucket was able to move out of the way of the falling branch which then struck Employee #1 in the back of the head striking his forehead against the top rail of the aerial lift bucket. Employee #1 sustained blunt force trauma head injuries. Paramedics responded and declared that Employee #1 was dead at the scene.,struck by moving objects
 Employee Is Struck And Killed By I,At approximately 11:20 a.m. on November 7 2013 Employee #1 was operating an aerial lift and assisting a crew with the demolition of a 135 ft tall building. The crew consisted of a supervisor the owner of the company and two other employees that were working together to demo the building. The group had cut the top of four out of the five southwestern most main support beams earlier that day with no issues. They moved to the northwestern beams and began cutting the top of four out of five beams but could not get the I-beam piece out. After breaking a new 0.625 in. diameter choker they tried to extract the piece out but could not. It was then decided by the owner supervisor and Employee #1 to cut the bottom of the beam to get the roof to collapse. Employee #1 made the pre-cuts (cutting the beam but not cutting all the way through the beam) and then he went to the ground in the aerial lift to get a choker and shackles to attach the lower piece of the beam to the arm of the Hi-Lo machine that was located on the south end of the building. Once elevated back to the beam that was pre-cut Employee #1 attached the shackles and choker to the arm of the Hi-Lo machine and the cut beam. Employee #1 made the final cuts to the beam. Employee #1 started down in the aerial lift that was located on the north end of the building. Instead of booming to the left (away from the building) and then down Employee #1 came straight down the west side of the building. Every other time Employee #1 had boomed away from the building and then down according to the owner. As Employee #1 reached approximately 80 ft above the ground the roof above the I-beam collapsed. The piece of the beam that was attached to the Hi-Lo arm swung out and hit Employee #1 in the back of the neck area pushing him against the controls of the aerial lift. The owner of the company went to the lower controls of the aerial lift and lowered the basket to the ground. By the time the basket was on the ground the plant nurses and first responders were on site and started medical attention on Employee #1. Emergency medical personnel transported Employee #1 to a county hospital. Employee #1 had received multiple blunt force injuries to the head neck and chest and died at the hospital.,collapse of object
 Three Workers Are Injured When Struck By Collapsing Trusses ,At approximately 7:15 a.m. on September 20 2013 Employees #1 #2 and #3 employed by Nor-Son Inc. were performing exterior carpentry work at a building construction site. Each was working in the basket of one of three scissor lifts. The building's roof trusses collapsed struck the three scissor lifts and knocked the scissor lifts to the ground with the workers still in the baskets. Emergency services were called and the three employees were transported to the hospital. All were hospitalized. Employee #1 was treated for leg fractures. Employee #2 was treated for a fractured chest. Employee #3 was treated for lacerations to the face.,collapse of object
